ID,Active (0/1),Name *,Parent category,Root category (0/1),Description,Meta title,Meta keywords,Meta description,URL rewritten,Image URL
3,1,SHOP,2,0,SHOP,SHOP,SHOP,SHOP,SHOP,
4,1,S/S COLLECTION,3,0,S/S COLLECTION,S/S COLLECTION,S/S COLLECTION,S/S COLLECTION,S/S COLLECTION,
5,1,SUITS,4,0,SUITS,SUITS,SUITS,SUITS,SUITS,
6,1,SHIRTS,4,0,SHIRTS,SHIRTS,SHIRTS,SHIRTS,SHIRTS,
7,1,PANTS,4,0,PANTS,PANTS,PANTS,PANTS,PANTS,
8,1,JACKETS,4,0,JACKETS,JACKETS,JACKETS,JACKETS,JACKETS,
9,1,WAISTCOATS,4,0,WAISTCOATS,WAISTCOATS,WAISTCOATS,WAISTCOATS,WAISTCOATS,
10,1,OUTERWEAR,4,0,OUTERWEAR,OUTERWEAR,OUTERWEAR,OUTERWEAR,OUTERWEAR,
11,1,KNITTED WEAR,4,0,KNITTED WEAR,KNITTED WEAR,KNITTED WEAR,KNITTED WEAR,KNITTED WEAR,
12,1,BAGS,4,0,BAGS,BAGS,BAGS,BAGS,BAGS,
13,1,EVENING WEAR,4,0,EVENING WEAR,EVENING WEAR,EVENING WEAR,EVENING WEAR,EVENING WEAR,
14,1,ACCESSORIES,3,0,ACCESSORIES,ACCESSORIES,ACCESSORIES,ACCESSORIES,ACCESSORIES,
15,1,POCKET SQUARES,14,0,POCKET SQUARES,POCKET SQUARES,POCKET SQUARES,POCKET SQUARES,POCKET SQUARES,
16,1,TIES,14,0,TIES,TIES,TIES,TIES,TIES,
17,1,SCARVES,14,0,SCARVES,SCARVES,SCARVES,SCARVES,SCARVES,
18,1,LEATHER GOODS,14,0,LEATHER GOODS,LEATHER GOODS,LEATHER GOODS,LEATHER GOODS,LEATHER GOODS,
19,1,CUFFLINKS,14,0,CUFFLINKS,CUFFLINKS,CUFFLINKS,CUFFLINKS,CUFFLINKS,
20,1,SPECIAL LINES,3,0,SPECIAL LINES,SPECIAL LINES,SPECIAL LINES,SPECIAL LINES,SPECIAL LINES,
21,1,THE ESSENTIALS,20,0,THE ESSENTIALS,THE ESSENTIALS,THE ESSENTIALS,THE ESSENTIALS,THE ESSENTIALS,
22,1,THE BLUES,20,0,THE BLUES,THE BLUES,THE BLUES,THE BLUES,THE BLUES,
23,1,EVENING KITS,20,0,EVENING KITS,EVENING KITS,EVENING KITS,EVENING KITS,EVENING KITS,
24,1,TRAVELLER EDITION,20,0,TRAVELLER EDITION,TRAVELLER EDITION,TRAVELLER EDITION,TRAVELLER EDITION,TRAVELLER EDITION,
25,1,PYRÉNÉES LUXURY LINE,20,0,PYRÉNÉES LUXURY LINE,PYRÉNÉES LUXURY LINE,PYRÉNÉES LUXURY LINE,PYRÉNÉES LUXURY LINE,PYRÉNÉES LUXURY LINE,
